,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a,L/P,Ordem L/P,Ordem ROE,Score,PapelF
26,CSMG3,20.65,5.64,1.01,1.042,0.1561,0.555,19.34,4.04,-1.93,6.01,4.26,0.2579,0.18489999999999998,1.21,0.1489,0.1797,27707500.0,7752950000.0,0.59,0.09480000000000001,0.1773049645390071,26,51,77,CSMG
27,PSSA3,29.75,7.47,1.54,0.575,0.060700000000000004,0.431,5.52,0.7,-3.62,0.27,0.26,0.8244,0.0783,1.15,0.8427,0.2059,64609000.0,12505000000.0,0.0,0.1804,0.13386880856760375,50,33,83,PSSA
28,SAPR3,5.02,4.85,0.75,1.161,0.0559,0.383,5.49,2.79,-1.22,4.44,3.76,0.4154,0.2391,1.66,0.15439999999999998,0.15439999999999998,1130950.0,10123600000.0,0.63,0.07980000000000001,0.2061855670103093,13,71,84,SAPR
29,CURY3,18.95,10.41,5.5,1.768,0.1153,1.621,4.34,7.73,28.72,7.16,6.9,0.2286,0.1776,2.09,0.321,0.5279,33076000.0,1006210000.0,0.6,0.35,0.09606147934678194,83,2,85,CURY
30,ETER3,5.89,3.45,0.47,0.331,0.07150000000000001,0.284,1.19,7.2,6.44,9.46,5.21,0.046,0.0959,2.16,0.042199999999999994,0.1369,1322330.0,769884000.0,0.17,0.2263,0.2898550724637681,2,88,90,ETER
31,TGMA3,23.88,8.56,1.81,0.963,0.0766,1.29,3.51,7.32,5.67,6.73,6.04,0.1315,0.11289999999999999,3.55,0.24559999999999998,0.21109999999999998,6264200.0,872453000.0,0.2,0.0866,0.11682242990654206,66,28,94,TGMA
32,CSUD3,17.99,8.13,1.68,1.401,0.0602,1.118,18.99,6.33,-22.58,6.38,4.18,0.22149999999999997,0.1723,1.26,0.2192,0.20670000000000002,948387.0,447312000.0,0.22,0.054000000000000006,0.12300123001230011,63,32,95,CSUD
33,ITSA3,9.7,7.08,1.25,13.17,0.08689999999999999,0.964,12.39,172.43,-15.12,178.98,57.74,0.0764,1.911,2.71,0.0060999999999999995,0.17579999999999998,1053580.0,80435000000.0,0.15,0.1072,0.14124293785310735,43,55,98,ITSA
34,UNIP6,48.3,9.33,2.18,1.228,0.0572,0.777,2.46,7.59,-5.5,8.1,5.96,0.1617,0.1322,2.73,0.16079999999999997,0.23370000000000002,9688290.0,2532350000.0,1.04,0.1295,0.10718113612004287,75,23,98,UNIP
35,NEOE3,18.16,5.04,0.71,0.501,0.0542,0.216,9.15,2.46,-0.47,6.92,5.32,0.20309999999999997,0.1008,1.11,0.09939999999999999,0.1413,19143500.0,30954000000.0,1.55,0.12140000000000001,0.1984126984126984,15,83,98,NEOE
